41
2 Adrian Cashmore 63 68 98
10 Caleb Ralph 67 98 56
22 Greg Smith 100 57 100
5 Apisai Naevo 52 54 47
39 Michael Collins 57 84 59
37 Mark Robinson 58 55 56
25 Jason Barrell 54 28 58
21 Glen Osborne 87 47 58
29 Jona Lomu 74 57 57
6 Bklair Larsen 41 15 56
33 Leo Lafaialii 58 55 65
35 Mark Carter 87 91 54
17 Eroni Clarke 75 75 68
13 Craig Dowd 57 74 68
23 Ian Foster 85 84 48
30 Justin Collins 14 58 52
41 Nick Holten 84 84 91
12 Charles Riechelmann 48 65 47
24 Ian Jones 74 84 87
28 Joeli Vidiri 55 15 45
15 Deon Muir 68 75 58
19 Frank Bunce 73 84 65
20 Glen Marsh 56 57 47
7 BrettMc Cormack 98 95 100
9 Bruce Reihana 52 58 58
18 Erro Brain 62 84 54
26 Jason Hammond 85 54 58
34 Leon Macdonald 87 97 84
38 Matt Cooper 55 56 57
40 Michael Jones 74 87 69
3 Andrew Blowers 67 74 54
1 Aaon Hopa 54 55 49
27 Janson Spice 98 100 95
31 Lee Lidgard 51 54 25
4 Andrew Roose 67 74 57
32 Lee Stensness 85 98 91
16 Dylan Mike 69 85 95
8 Brian Lima 85 76 47
14 Craig Innes 55 41 54
11 Carlos Spencer 85 55 65
36 Mark Cooksley 41 64 52
